movie_title,original_genres,predicted_genres
Avatar,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Action Adventure Science Fiction
Pirates of the Caribbean: At World's End,"['Adventure', 'Fantasy', 'Action']",
Spectre,"['Action', 'Adventure', 'Crime']",Action Adventure Thriller
The Dark Knight Rises,"['Action', 'Crime', 'Drama', 'Thriller']",Action Crime Thriller
John Carter,"['Action', 'Adventure', 'Science Fiction']",Action Adventure Science Fiction
Spider-Man 3,"['Fantasy', 'Action', 'Adventure']",Action
Tangled,"['Animation', 'Family']",Family
Avengers: Age of Ultron,"['Action', 'Adventure', 'Science Fiction']",Action Adventure Science Fiction
Harry Potter and the Half-Blood Prince,"['Adventure', 'Fantasy', 'Family']",
Batman v Superman: Dawn of Justice,"['Action', 'Adventure', 'Fantasy']",Action Adventure Fantasy
Superman Returns,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']",Action Adventure Fantasy Science Fiction
Quantum of Solace,"['Adventure', 'Action', 'Thriller', 'Crime']",Action Adventure Thriller
Pirates of the Caribbean: Dead Man's Chest,"['Adventure', 'Fantasy', 'Action']",
The Lone Ranger,"['Action', 'Adventure', 'Western']",
Man of Steel,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Action Adventure Fantasy Science Fiction
The Chronicles of Narnia: Prince Caspian,"['Adventure', 'Family', 'Fantasy']",Adventure Fantasy
The Avengers,"['Science Fiction', 'Action', 'Adventure']",Action Adventure Science Fiction
Pirates of the Caribbean: On Stranger Tides,"['Adventure', 'Action', 'Fantasy']",
Men in Black 3,"['Action', 'Comedy', 'Science Fiction']",Action Science Fiction
The Hobbit: The Battle of the Five Armies,"['Action', 'Adventure', 'Fantasy']",Action Adventure
The Amazing Spider-Man,"['Action', 'Adventure', 'Fantasy']",
Robin Hood,"['Action', 'Adventure']",
The Hobbit: The Desolation of Smaug,"['Adventure', 'Fantasy']",Adventure Fantasy
The Golden Compass,"['Adventure', 'Fantasy']",Adventure
King Kong,"['Adventure', 'Drama', 'Action']",
Titanic,"['Drama', 'Romance', 'Thriller']",Drama
Captain America: Civil War,"['Adventure', 'Action', 'Science Fiction']",Action Adventure
Battleship,"['Thriller', 'Action', 'Adventure', 'Science Fiction']",Action Adventure Science Fiction
Jurassic World,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",Adventure
Skyfall,"['Action', 'Adventure', 'Thriller']",Action Thriller
Spider-Man 2,"['Action', 'Adventure', 'Fantasy']",Action
Iron Man 3,"['Action', 'Adventure', 'Science Fiction']",Action Adventure
Alice in Wonderland,"['Family', 'Fantasy', 'Adventure']",
X-Men: The Last Stand,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",Action
Monsters University,"['Animation', 'Family']",Comedy
Transformers: Revenge of the Fallen,"['Science Fiction', 'Action', 'Adventure']",
Transformers: Age of Extinction,"['Science Fiction', 'Action', 'Adventure']",Action Science Fiction
Oz: The Great and Powerful,"['Fantasy', 'Adventure', 'Family']",Adventure Family Fantasy
The Amazing Spider-Man 2,"['Action', 'Adventure', 'Fantasy']",Action
TRON: Legacy,"['Adventure', 'Action', 'Science Fiction']",Action Science Fiction
Cars 2,"['Animation', 'Family', 'Adventure', 'Comedy']",Adventure Comedy
Green Lantern,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",Action Adventure Science Fiction
Toy Story 3,"['Animation', 'Family', 'Comedy']",Comedy
Terminator Salvation,"['Action', 'Science Fiction', 'Thriller']",Action Science Fiction
Furious 7,['Action'],Action
World War Z,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']",
X-Men: Days of Future Past,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Action Adventure Science Fiction
Star Trek Into Darkness,"['Action', 'Adventure', 'Science Fiction']",Action Adventure Science Fiction
Jack the Giant Slayer,"['Action', 'Family', 'Fantasy']",Action Adventure Fantasy
The Great Gatsby,"['Drama', 'Romance']",Drama
Prince of Persia: The Sands of Time,"['Adventure', 'Fantasy', 'Action', 'Romance']",Action Adventure Fantasy
Pacific Rim,"['Action', 'Science Fiction', 'Adventure']",Action
Transformers: Dark of the Moon,"['Action', 'Science Fiction', 'Adventure']",Action Adventure Science Fiction
Indiana Jones and the Kingdom of the Crystal Skull,"['Adventure', 'Action']",Action Adventure
The Good Dinosaur,"['Adventure', 'Animation', 'Family']",Adventure Family
Brave,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']",
Star Trek Beyond,"['Action', 'Adventure', 'Science Fiction']",Adventure Science Fiction
WALL·E,"['Animation', 'Family']",Comedy
Rush Hour 3,"['Action', 'Comedy', 'Crime', 'Thriller']",Action Thriller
2012,"['Action', 'Adventure', 'Science Fiction']",Action Adventure Science Fiction
A Christmas Carol,"['Animation', 'Drama']",Drama
Jupiter Ascending,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']",
The Legend of Tarzan,"['Action', 'Adventure']",
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","['Adventure', 'Family', 'Fantasy']",Adventure Family Fantasy
X-Men: Apocalypse,['Science Fiction'],Action Adventure Science Fiction
The Dark Knight,"['Drama', 'Action', 'Crime', 'Thriller']",Action Crime
Up,"['Animation', 'Comedy', 'Family', 'Adventure']",Comedy Drama
Monsters vs Aliens,"['Animation', 'Family', 'Adventure', 'Science Fiction']",Science Fiction
Iron Man,"['Action', 'Science Fiction', 'Adventure']",Action Adventure
Hugo,"['Adventure', 'Drama', 'Family']",
Wild Wild West,"['Action', 'Adventure', 'Comedy', 'Science Fiction', 'Western']",Comedy
The Mummy: Tomb of the Dragon Emperor,"['Adventure', 'Action', 'Fantasy']",
Suicide Squad,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']",Action
Evan Almighty,"['Fantasy', 'Comedy', 'Family']",Comedy
Edge of Tomorrow,"['Action', 'Science Fiction']",Action Science Fiction
Waterworld,"['Adventure', 'Action']",Action Adventure Science Fiction
G.I. Joe: The Rise of Cobra,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",Action Thriller
Inside Out,"['Drama', 'Comedy', 'Animation', 'Family']",Comedy Drama
The Jungle Book,"['Family', 'Adventure', 'Drama', 'Fantasy']",Adventure Family
Iron Man 2,"['Adventure', 'Action', 'Science Fiction']",Action Adventure
Snow White and the Huntsman,"['Adventure', 'Fantasy', 'Drama']",
Maleficent,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']",Fantasy
Dawn of the Planet of the Apes,"['Science Fiction', 'Action', 'Drama', 'Thriller']",Action Science Fiction Thriller
The Lovers,"['Action', 'Adventure', 'Science Fiction', 'Romance']",Drama Romance
47 Ronin,"['Drama', 'Action', 'Adventure', 'Fantasy']",
